Lm,tc
4.95908873134448e-72,160.1
9.666132591268285e-72,161.1
1.5570402035342765e-71,162.1
4.5128194971248495e-71,163.1
1.1450643594331249e-70,164.1
3.961164434135202e-70,165.1
1.0012937712194861e-69,166.1
1.4637543452928874e-68,167.1
1.2664232432887346e-67,168.1
7.893643144420327e-67,169.1
7.163896416342344e-66,170.1
2.950078192759468e-65,171.1
1.4192606473102709e-64,172.1
6.591882767037293e-64,173.1
2.9613512697591813e-63,174.1
1.698684827544209e-62,175.1
8.160882607804101e-62,176.1
3.572303907443025e-61,177.1
8.932936940181707e-60,178.1
9.924951631399286e-59,179.1
1.9612505435227646e-57,180.1
2.701065574649931e-56,181.1
2.243406577380597e-55,182.1
1.806315867420295e-54,183.1
2.2392273685055727e-53,184.1
1.8468555812948786e-52,185.1
1.03875712242252e-51,186.1
5.463672813083341e-51,187.1
1.911583896341984e-50,188.1
4.380287690151658e-50,189.1
8.064791421009444e-50,190.1
1.957335192606273e-49,191.1
4.361072136746612e-49,192.1
2.7105585688341282e-48,193.1
3.7419039264706004e-48,194.1
2.149296109943057e-48,195.1
1.5869193548698434e-48,196.1
6.503036971549205e-49,197.1
1.6054879393912807e-49,198.1
3.438835487480121e-49,199.1
2.6227785842995873e-49,200.1
1.1444102209225047e-49,201.1
1.080976395662635e-49,202.1
1.3391053761669391e-49,203.1
4.547291084825678e-50,204.1
1.765991643655484e-49,205.1
5.7048331459677086e-49,206.1
1.2882825744190485e-48,207.1
1.984497534612444e-48,208.1
6.560902958211579e-48,209.1
6.109947860721467e-47,210.1
1.4530798134914129e-46,211.1
2.9301537576751395e-46,212.1
5.5822599691327444e-46,213.1
6.837129834847933e-46,214.1
9.27437678328982e-46,215.1
1.9281363647017837e-45,216.1
4.115908212502121e-45,217.1
8.05300085800968e-45,218.1
1.4263696840770698e-44,219.1
2.1954477433496506e-44,220.1
1.4641406541413972e-45,221.1
9.270609718898326e-44,222.1
2.2656181046657804e-43,223.1
3.877830835124193e-43,224.1
4.847965257303788e-43,225.1
3.9783753008571915e-43,226.1
1.5809999247569018e-43,227.1
3.443427220484185e-43,228.1
5.71347823086337e-44,229.1
5.80889330354631e-43,230.1
9.731416874987214e-43,231.1
1.375707567510895e-42,232.1
1.6687848411757935e-42,233.1
1.0945800234833022e-42,234.1
7.542274001166756e-42,235.1
2.674075601680099e-41,236.1
1.0457554349638255e-40,237.1
4.695069937868733e-40,238.1
2.378479850988756e-39,239.1
1.2882766831245885e-38,240.1
7.245027702148145e-38,241.1
2.7255624318461906e-37,242.1
4.313743647929753e-36,243.1
6.504938822450204e-35,244.1
8.54027629905819e-34,245.1
1.0680583735529251e-32,246.1
1.369034162646655e-31,247.1
1.8167080192806257e-30,248.1
2.55780139000452e-29,249.1
4.058067374498353e-28,250.1
7.136192247260848e-27,251.1
1.3512870086667466e-25,252.1
2.7536564006540017e-24,253.1
5.902285814150436e-23,254.1
1.3737915021880806e-21,255.1
3.3594997063247084e-20,256.1
8.660287198042295e-19,257.1
2.305985932260949e-17,258.1
6.250690604981408e-16,259.1
1.647837696732682e-14,260.1
4.218402212866923e-13,261.1
1.005998135950641e-11,262.1
2.1880549723877406e-10,263.1
4.2763093401145174e-09,264.1
7.188371383653101e-08,265.1
1.0287135416505335e-06,266.1
1.1923524051980599e-05,267.1
0.00011312459692437558,268.1
0.0008506995227975437,269.1
0.005008299039724779,270.1
0.02303849258444274,271.1
0.08146837735336519,272.1
0.2193637475518173,273.1
0.4618261461532397,274.1
0.7538416843404473,275.1
0.9690613030746595,276.1
1.0,277.1
0.832754859117259,278.1
0.5670865184481972,279.1
0.3288695673430107,280.1
0.16417349855241353,281.1
0.07119200984905134,282.1
0.027223646452901023,283.1
0.009374380597283318,284.1
0.003005299115443577,285.1
0.0008820749009984058,286.1
0.00024366707156398904,287.1
6.249391601820442e-05,288.1
1.5602863568974763e-05,289.1
3.6841185590937023e-06,290.1
8.445134572308308e-07,291.1
1.8645356602119427e-07,292.1
4.034271940057545e-08,293.1
8.523448687706131e-09,294.1
1.79888986091825e-09,295.1
3.6524968996784834e-10,296.1
7.439687193997865e-11,297.1
1.4933914065721863e-11,298.1
3.0027063229480825e-12,299.1
5.911678184308246e-13,300.1
1.19138195526526e-13,301.1
2.363699942785277e-14,302.1
4.691845912121647e-15,303.1
9.39458172977778e-16,304.1
1.8879226189376973e-16,305.1
3.8004804586228883e-17,306.1
7.704375444360814e-18,307.1
1.5769792884322961e-18,308.1
3.2854971873809113e-19,309.1
